fencer_id_asc
fencer_id_desc
user_id_asc
user_id_desc
usfa_id_asc
usfa_id_desc
first_name_asc
first_name_desc
last_name_asc
last_name_desc
gender_asc
gender_desc
club_id_asc
club_id_desc
division_id_asc
division_id_desc
birthyear_asc
birthyear_desc
