event_id_asc
event_id_desc
tournament_id_asc
tournament_id_desc
weapon_asc
weapon_desc
gender_asc
gender_desc
age_limit_asc
age_limit_desc
rating_limit_asc
rating_limit_desc
rating_asc
rating_desc
rating_prediction_asc
rating_prediction_desc
preregs_asc
preregs_desc
entries_asc
entries_desc
