result_id_asc
result_id_desc
event_id_asc
event_id_desc
tournament_id_asc
tournament_id_desc
competitor_id_asc
competitor_id_desc
first_name_asc
first_name_desc
last_name_asc
last_name_desc
team_name_asc
team_name_desc
tournament_name_asc
tournament_name_desc
tournament_start_date_asc
tournament_start_date_desc
tournament_end_date_asc
tournament_end_date_desc
entries_asc
entries_desc
event_date_asc
event_date_desc
place_asc
place_desc
rating_before_letter_asc
rating_before_letter_desc
rating_before_year_asc
rating_before_year_desc
rating_earned_letter_asc
rating_earned_letter_desc
rating_earned_year_asc
rating_earned_year_desc
