      tournament_id_asc
      tournament_id_desc
      name_asc
      name_desc
      start_date_asc
      start_date_desc
      end_date_asc
      end_date_desc
      prereg_open_asc
      prereg_open_desc
      prereg_close_asc
      prereg_close_desc
      division_id_asc
      division_id_desc
      section_id_asc
      section_id_desc
      results_mod_time_asc
      results_mod_time_desc
